#vs30_ref=800,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.1),SA(0.2),SA(0.3),SA(0.6),SA(1.0),SA(2.0),sigma_PGA,sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.6),sigma_SA(1.0),sigma_SA(2.0)
5,1.3823,0.7034,0.7931,1.1439,1.2718,1.0625,0.825,1.11,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,2.1721,0.6255,0.7313,0.979,1.1167,0.9174,0.6564,0.9762,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,3.4133,0.5562,0.6767,0.8273,0.9776,0.7893,0.5223,0.8585,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,5.3636,0.4945,0.6263,0.7007,0.8518,0.6791,0.4155,0.755,0.3,0.3,0.3,0.3,0.3,0.3,0.3
6,0.001,1.062,1.2082,1.5179,1.6446,1.7858,1.7019,2.0604,0.3,0.3,0.3,0.3,0.3,0.3,0.3
6,0.0016,1.0665,1.2031,1.5087,1.6384,1.7845,1.6996,2.0559,0.3,0.3,0.3,0.3,0.3,0.3,0.3
6,0.0025,1.074,1.198,1.5003,1.6327,1.7834,1.6973,2.0522,0.3,0.3,0.3,0.3,0.3,0.3,0.3
6,0.0039,1.0799,1.1937,1.493,1.6286,1.7813,1.6922,2.0529,0.3,0.3,0.3,0.3,0.3,0.3,0.3
6,0.0061,1.0745,1.1896,1.4879,1.6243,1.7791,1.6855,2.0557,0.3,0.3,0.3,0.3,0.3,0.3,0.3
6,0.0096,1.0693,1.1834,1.4805,1.6176,1.7766,1.6824,2.0407,0.3,0.3,0.3,0.3,0.3,0.3,0.3
6,0.0151,1.0631,1.1758,1.4703,1.6098,1.7699,1.6837,2.0268,0.3,0.3,0.3,0.3,0.3,0.3,0.3
6,0.0237,1.0489,1.1693,1.4559,1.5956,1.7623,1.6667,1.9936,0.3,0.3,0.3,0.3,0.3,0.3,0.3
6,0.0372,1.0349,1.1603,1.4318,1.5729,1.7493,1.6633,1.9804,0.3,0.3,0.3,0.3,0.3,0.3,0.3
