barrio,id_barrio,number,rc_usd,night,collapsed,fatalities,losses,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Sector Laguna del Pondaje,1397.0,704.0,112658491,8547.0,0.01883965513,0.02116275051,125032,0.11098328402766,0.00267608737642,0.247604428571429,0.0,0.0
Fenalco Kennedy,1206.0,322.0,30457537,1169.0,0.01214565578,0.0044867648458,36267,0.119074787396146,0.00377194278882,0.383812219486741,0.0,0.0
Asturias,1202.0,672.0,45781484,4469.0,0.03247126323,0.022360765222,61967,0.135353121710127,0.00483203321875,0.500352768449318,0.0,0.0
El Rodeo,1210.0,1844.0,113419457,12061.0,0.08148271457,0.051801400923,145733,0.128490323778456,0.004418802308568,0.429495074396816,0.0,0.0
Santa Mónica Belalcázar,907.0,221.0,28888159,736.0,0.01532481902,0.005904571396,46402,0.160627301489078,0.006934307248869,0.802251548369565,0.0,0.0
Aranjuez,905.0,458.0,52235763,1965.0,0.04644487692,0.022889305423,118753,0.227340833178153,0.010140802820961,1.16485014875318,0.0,0.0
Lleras Restrepo,1309.0,215.0,19990234,1274.0,0.00600032859,0.0035844487001,22169,0.110900478765653,0.002790850506977,0.28135390110675,0.0,0.0
El Cedro,1913.0,917.0,303998505,2320.0,0.0783422449,0.020587845698,656541,0.215968542073314,0.008543320054526,0.887407142155172,0.0,0.0
3 de Julio,1912.0,531.0,228124570,1746.0,0.04484023047,0.014445129528,505652,0.22165607079145,0.008444487847458,0.827327006185567,0.0,0.0
Ciudad Talanga,2108.0,2423.0,59405757,13147.0,0.06026481274,0.030087383501,57168,0.096233717940611,0.00248719821461,0.228853605392865,0.0,0.0
20 de Julio,1111.0,398.0,40916550,2427.0,0.02488287425,0.017507092169,64472,0.157569377012057,0.006251978454774,0.7213470197363,0.0,0.0
Los Naranjos II,1499.0,1450.0,44331774,6954.0,0.03450916204,0.011935405193,40422,0.091180523549041,0.002379942209655,0.171633666853609,0.0,0.0
El Prado,1110.0,218.0,51403403,1454.0,0.01386980181,0.008352374279,78123,0.151980945293428,0.006362294408257,0.574441147111417,0.0,0.0
Junín,903.0,990.0,129548124,4441.0,0.10822521267,0.053520184976,323150,0.249444222679034,0.010931839663636,1.205138144021617,0.0,0.0
Alfonso Barberena A.,1204.0,461.0,34174290,3252.0,0.02141030962,0.014950299326,45865,0.134209227313138,0.004644318789588,0.459726301537515,0.0,0.0
Ricardo Balcázar,1306.0,755.0,50181589,4804.0,0.02114018715,0.0133516807411,53993,0.107595432030164,0.002800024788079,0.277928408432556,0.0,0.0
Sector Altos de Santa Isabel,1981.0,53.0,168616480,2466.0,0.00045009102,0.001820526861,34956,0.020730918652823,0.000849228339623,0.073825095742092,0.0,0.0
Las Acacias,1005.0,316.0,43440401,1637.0,0.01693206027,0.009049868636,60660,0.139639485047935,0.005358246920886,0.552832537324374,0.0,0.0
Los Naranjos,1496.0,426.0,19064468,2813.0,0.01024138619,0.006211263034,18106,0.094970345813239,0.002404081265258,0.220805653537149,0.0,0.0
San Cristóbal,1015.0,761.0,97365309,3896.0,0.05219317712,0.030415922132,174648,0.179374251022947,0.00685849896452,0.780696153285421,0.0,0.0
Aguablanca,1109.0,902.0,94972479,5827.0,0.055548735,0.036194447132,145149,0.152832890409327,0.006158396341463,0.621150628659688,0.0,0.0
Prados de Oriente,1112.0,712.0,118608130,4634.0,0.0397512543,0.030049221077,148821,0.125472857837338,0.00558304133427,0.648451037483815,0.0,0.0
Santa Isabel,1908.0,755.0,444269376,4755.0,0.023057791016,0.0116428731526,286440,0.064474414694588,0.003054012055099,0.244855376500526,0.0,0.0
Marroquín III,1394.0,604.0,31928071,2340.0,0.02002066742,0.0070901744642,35258,0.110428780098759,0.003314680036424,0.302998908726496,0.0,0.0
Champagnat,1914.0,712.0,170570689,2519.0,0.05821491498,0.023427254544,374546,0.219584020067008,0.008176252103933,0.930022014450179,0.0,0.0
Puerta del Sol,1495.0,1103.0,27875336,5207.0,0.03007112445,0.00881542947,24893,0.089301403417699,0.002726303213962,0.169299586518149,0.0,0.0
Bello Horizonte,1212.0,186.0,19456762,1341.0,0.00902065191,0.006928598543,26537,0.136388612841496,0.004849812854839,0.516674015137957,0.0,0.0
Villanueva,1201.0,559.0,41183572,3332.0,0.02970046913,0.016243656688,58646,0.142401669674051,0.005313142957066,0.487504702521008,0.0,0.0
El Pondaje,1398.0,569.0,44597749,3751.0,0.0129246788,0.008525186919,46156,0.103493298028107,0.00227147254833,0.227277710450547,0.0,0.0
